#  CREATED = Jan 27 1998 
#  CONTACT = R. Diaz
#  DESCRIPT= Initial delivery of Gleise 229B source model (Angst vs FLAM)
#  MAPKEY  = Brown Dwarf
#  FILE_TYP= Brown Dwarf (Gleise 229B) Source Model Spectrum (Angstroms vs erg/s/cm^2/A)
#  SYSTEMS = PYETC
#  REASON  = Initial delivery to ETC database
#  HISTORY
#  HISTORY  This file was part of the ETC 18.0 or earlier software. This file is
#  HISTORY  being delivered to CDBS for the purposes of quality control and to
#  HISTORY  address the future needs of ETC 19.0 (PYETC). This file has been
#  HISOTRY  been validated and found to be representative of the spectra for
#  HISTORY  a brown dwarf.

#  Digital form of the spectrum of Gliese 229B.  This data is presented in
#  the paper entitled "The Spectrum of Gliese 229B" by B. R. Oppenheimer,
#  S. R. Kulkarni, K. Matthews and M. H. van Kerkwijk (1998, ApJ, in press).
#   
#  Please contact Ben R. Oppenheimer before using this data in any
#  publication or presentation.
#   
#  Ben R. Oppenheimer
#  January 27, 1998
#   
#  105-24 California Institute of Technology
#  Pasadena, CA 91125
#  (626) 395-4987
#  fax: (626) 568-9352
#  e-mail: bro@astro.caltech.edu
#   
#  The first column is wavelength in microns.  The second column is flux
#  density in millijanskies.  Gaps exist in the data in the following
#  ranges, where telluric absorption prohibits a measurement (all
#  wavelengths are given in microns): [1.1236, 1.1561], [1.3333, 1.3986],
#  [1.9231, 2.0000], [2.5317, 2.9840] and [4.1667, 4.5455].  In addition,
#  the resolution is much higher in the wavelength range 0.837 to 1.0
#  micron.  The paper contains complete descriptions of the data
#  collection and reduction techniques.
#
#
# Units converted from Ben's micron/mJy table from his web page
# using stsci.edu:/home/anands/rc/src/etc/nicmosc/inr/gl229b.c. 
#
#						anands@stsci.edu
#   
# Wavelength     Flux: Synphot's flam
#  A             erg s-1 cm-2 A-1
2.165812e+04     1.267053e-19
2.171869e+04     1.212990e-19
2.177924e+04     1.139386e-19
2.183978e+04     1.073783e-19
2.190031e+04     9.322426e-20
2.196082e+04     7.951490e-20
2.202132e+04     6.508671e-20
2.208179e+04     5.696732e-20
2.214226e+04     4.744109e-20
2.220271e+04     4.600026e-20
2.226314e+04     4.929046e-20
2.232356e+04     4.720002e-20
2.238397e+04     4.377680e-20
2.244436e+04     4.323088e-20
2.250473e+04     3.860237e-20
2.256509e+04     3.889541e-20
2.262543e+04     3.626662e-20
2.268576e+04     3.713535e-20
2.274608e+04     3.540719e-20
2.280638e+04     3.544384e-20
2.286666e+04     3.369658e-20
2.292692e+04     3.332690e-20
2.298718e+04     3.320857e-20
2.304742e+04     3.153958e-20
2.310764e+04     3.079543e-20
2.316785e+04     3.464919e-20
2.322804e+04     3.541778e-20
2.328821e+04     3.536048e-20
2.334838e+04     3.268123e-20
2.340852e+04     3.046351e-20
2.346865e+04     3.083395e-20
2.352877e+04     3.306472e-20
2.358887e+04     3.091269e-20
2.364896e+04     3.334540e-20
2.370903e+04     2.868390e-20
2.376909e+04     3.183702e-20
2.382912e+04     3.218208e-20
2.388915e+04     2.950586e-20
2.394916e+04     2.777758e-20
2.400916e+04     3.176780e-20
2.406914e+04     3.154861e-20
2.412910e+04     3.650000e-20
2.418905e+04     3.619480e-20
2.424898e+04     3.608443e-20
2.430890e+04     3.678038e-20
2.436881e+04     3.753067e-20
2.442870e+04     4.011943e-20
2.448857e+04     3.802884e-20
2.454843e+04     3.713668e-20
2.460827e+04     4.060341e-20
2.466810e+04     4.176643e-20
2.472791e+04     4.256432e-20
2.478771e+04     4.387809e-20
2.484750e+04     4.583915e-20
2.490726e+04     4.379906e-20
2.496701e+04     4.525660e-20
2.502675e+04     4.275719e-20
2.508647e+04     3.705611e-20
2.514618e+04     4.474341e-20
2.520587e+04     4.304396e-20
2.984812e+04     5.944808e-20
2.995015e+04     5.732410e-20
3.005218e+04     4.082925e-20
3.015421e+04     5.700525e-20
3.025624e+04     3.977035e-20
3.035827e+04     5.726987e-20
3.046030e+04     4.423047e-20
3.056233e+04     4.923617e-20
3.066436e+04     5.231198e-20
3.076639e+04     7.350413e-20
3.086842e+04     4.849248e-20
3.097045e+04     5.604674e-20
3.107248e+04     4.498196e-20
3.117451e+04     3.524096e-20
3.127654e+04     3.738579e-20
3.137857e+04     1.687098e-20
3.148060e+04     3.451500e-20
3.158263e+04     2.466392e-20
3.168466e+04     1.499489e-20
3.178669e+04     6.994401e-21
3.188872e+04     4.630244e-21
3.199075e+04     4.401794e-21
3.209278e+04     7.039173e-21
3.219481e+04     8.261067e-21
3.229684e+04     3.522545e-21
3.239887e+04     2.120794e-21
3.250090e+04     3.092524e-21
3.260293e+04     1.280452e-20
3.270496e+04     7.365418e-21
3.280699e+04     1.077126e-20
3.290902e+04     2.942026e-21
3.301105e+04     3.710097e-21
3.311308e+04     2.007287e-20
3.321511e+04     1.418523e-21
3.331714e+04     2.490205e-21
3.341917e+04     6.444497e-21
3.352120e+04     7.855317e-21
3.362323e+04     3.418975e-21
3.372526e+04     2.371865e-21
3.382729e+04     1.495633e-20
3.392932e+04     4.625408e-21
3.403135e+04     4.285221e-21
3.413338e+04     7.655275e-21
3.423541e+04     5.157431e-21
3.433744e+04     2.363435e-21
3.443947e+04     1.121513e-20
3.454150e+04     9.491022e-21
3.464353e+04     1.267621e-20
3.474556e+04     6.381580e-21
3.484759e+04     3.508869e-21
3.494962e+04     1.345772e-20
3.505165e+04     7.896143e-21
3.515368e+04     6.143487e-21
3.525571e+04     1.269446e-20
3.535774e+04     1.241205e-20
3.545977e+04     2.292746e-20
3.556180e+04     9.601910e-21
3.566383e+04     3.561425e-20
3.576586e+04     1.565400e-20
3.586789e+04     1.689305e-20
3.596992e+04     1.375630e-20
3.607195e+04     2.089297e-20
3.617398e+04     3.585903e-20
3.627601e+04     3.202977e-20
3.637804e+04     3.196709e-20
3.648007e+04     4.896864e-20
3.658210e+04     3.179651e-20
3.668413e+04     4.900322e-20
3.678616e+04     3.866728e-20
3.688819e+04     4.050373e-20
3.699022e+04     5.533096e-20
3.709225e+04     5.778311e-20
3.719428e+04     4.209984e-20
3.729631e+04     5.994280e-20
3.739834e+04     5.628815e-20
3.750037e+04     6.168856e-20
3.760240e+04     6.658655e-20
3.770443e+04     5.961632e-20
3.780646e+04     6.447596e-20
3.790849e+04     6.511467e-20
3.801052e+04     8.658841e-20
3.811255e+04     9.562192e-20
3.821458e+04     8.550786e-20
3.831661e+04     9.368493e-20
3.841864e+04     7.740078e-20
3.852067e+04     8.737740e-20
3.862270e+04     8.378126e-20
3.872473e+04     9.484914e-20
3.882676e+04     1.012994e-19
3.892879e+04     1.014062e-19
3.903082e+04     9.818364e-20
3.913285e+04     1.145393e-19
3.923488e+04     1.187874e-19
3.933691e+04     1.204617e-19
3.943894e+04     1.274281e-19
3.954097e+04     1.359534e-19
3.964300e+04     1.167628e-19
3.974503e+04     1.390001e-19
3.984706e+04     1.229439e-19
3.994909e+04     1.392916e-19
4.005112e+04     1.364427e-19
4.015315e+04     1.436693e-19
4.025518e+04     1.416857e-19
4.035721e+04     1.428615e-19
4.045924e+04     1.580561e-19
4.056129e+04     1.512634e-19
4.066330e+04     1.651341e-19
4.076533e+04     1.647406e-19
4.086736e+04     1.622903e-19
4.096939e+04     1.685878e-19
4.107142e+04     1.638375e-19
4.117345e+04     1.707281e-19
4.127548e+04     1.715491e-19
4.137751e+04     1.597410e-19
4.147954e+04     1.765694e-19
4.556000e+04     7.840656e-20
4.566203e+04     8.078255e-20
4.576406e+04     3.283125e-20
4.586609e+04     1.094287e-19
4.596812e+04     6.763714e-20
4.607015e+04     5.119807e-20
4.617218e+04     8.448194e-20
4.627421e+04     7.506662e-20
4.637624e+04     7.668702e-20
4.647827e+04     7.982029e-20
4.658030e+04     6.499816e-20
4.668232e+04     1.049262e-19
4.678436e+04     9.090120e-20
4.688639e+04     9.311686e-20
4.698842e+04     9.895545e-20
4.709044e+04     1.221777e-19
4.719248e+04     7.199203e-20
4.729451e+04     1.001893e-19
4.739654e+04     8.356690e-20
4.749857e+04     7.322433e-20
4.760060e+04     6.803987e-20
4.770263e+04     6.765321e-20
4.780466e+04     7.004993e-20
4.790669e+04     7.388748e-20
4.800872e+04     7.963975e-20
4.811075e+04     8.236209e-20
4.821278e+04     1.098787e-19
4.831481e+04     1.016287e-19
4.841684e+04     1.277645e-19
4.851888e+04     1.125947e-19
4.862090e+04     9.697712e-20
4.872293e+04     1.420566e-19
4.882496e+04     1.423482e-19
4.892699e+04     1.093811e-19
4.902902e+04     1.175224e-19
4.913105e+04     1.023652e-19
4.923308e+04     1.029136e-19
4.933511e+04     1.067297e-19
4.943714e+04     9.773407e-20
4.953917e+04     7.431750e-20
